ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,svals
Xlr4a,66.83653690112548,-2.562554788541823,0.4792092852189337,-5.347464808347949,8.919474694691097e-8,8.095537064364135e-4,0.0025577838352604993
Aacs,3465.0515136724907,-0.5931206330705568,0.11106301243554235,-5.340397492052418,9.274300680907475e-8,8.095537064364135e-4,0.40824887335711724
Fdft1,4906.97870818152,-0.6686580428779959,0.12792919297115624,-5.226782310967567,1.724853756110653e-7,0.0010037498958059927,0.39302308667447605
Mvk,1161.9099165405153,-0.48266589885248745,0.09816756085216083,-4.916755541877795,8.799031585012351e-7,0.0030722698682229123,0.4216806447291283
Cyp4f40,2358.1473046078454,0.5222350969614503,0.10602685667743193,4.9254982494695545,8.414566409934159e-7,0.0030722698682229123,0.41726696759604637
Pla2g2a,37.695702886603904,-1.8221183808116084,0.3849619936531379,-4.733242270283416,2.2096148341401723e-6,0.006429242629069854,0.09255920028140424
9330162012Rik,89.25044445256796,-0.8086971693042796,0.17432476157189253,-4.639026389666211,3.5005435750363123e-6,0.008730355676140562,0.3674459317276365
6720468P15Rik,41.56947850613747,-0.9445535109023141,0.2081644712792218,-4.537534695992072,5.691566862834053e-6,0.012420421786419613,0.34687230515853923
Hmgcs1,17235.402986446537,-0.7015763460553137,0.15940010025507456,-4.401354484298568,1.0757720409781008e-5,0.015313837437982196,0.3835128339736757
Cyp51,7842.395381511857,-0.6158292922951883,0.13932969373647844,-4.419942912240506,9.872697854298155e-6,0.015313837437982196,0.4058947438977955
Srebf1,4265.635754183306,-0.3347165770547157,0.07499930996212523,-4.462928755261189,8.084694003371131e-6,0.015313837437982196,0.44100654321537536
Inpp5e,953.4703133372993,0.3737083571992344,0.08546508453265496,4.372643626842092,1.227510092100295e-5,0.015313837437982196,0.4467569779805128
Zmym1,643.2653766125723,0.5579674181760522,0.12747337023642347,4.377129255633519,1.202526674281356e-5,0.015313837437982196,0.410547504255845
Vnn1,823.11121915081,0.7350225560202875,0.16813379366304584,4.371652717795294,1.2330955281523861e-5,0.015313837437982196,0.36601710195926745
Gm12253,13.429998498748072,1.7436361323025957,0.4001491565658607,4.3574654692933485,1.3157724915209816e-5,0.015313837437982196,0.012555517408874933
Clca4b,4458.100912894966,-2.546852311374117,0.592132532916528,-4.301152478195524,1.6991208735976394e-5,0.016761315385804915,0.0014162433789651635
Slpi,419.68897955004536,-2.0283215856718138,0.47398788293070493,-4.279268856263876,1.8750825300641573e-5,0.016761315385804915,0.04128113753329685
Fosb,729.6947334047364,-1.302244262991495,0.30429483616744785,-4.279547689316995,1.8727350920337702e-5,0.016761315385804915,0.26967976390882653
Mvd,1797.6325578430512,-0.5855969977147093,0.13701461125295888,-4.273974814507698,1.9201873508769523e-5,0.016761315385804915,0.40903951699892205
Hsph1,2213.307493035512,0.7949580810574987,0.18524741427968083,4.2913315910434005,1.7760487196751755e-5,0.016761315385804915,0.3527115638204368
Ahsa2,670.4009880359778,0.35738276982805495,0.08440744989205347,4.234019275373236,2.2955125617818295e-5,0.019083361096946277,0.44835192856648504
Krt23,181.02721808403848,-0.8634537483293775,0.2048094845599791,-4.215887512165055,2.487977616311134e-5,0.019743233284345352,0.36051794000134063
Ltf,32.093922407284055,-1.8325753924911368,0.4383292978765337,-4.18081885324336,2.9046119641482745e-5,0.02112863152920857,0.08562153712948667
Lss,2129.408626538837,-0.5837860878538332,0.13947548365233048,-4.185582100643813,2.8443623446301053e-5,0.02112863152920857,0.409364795891596
Nos2,144.19838252603918,-2.4579955032782683,0.598614274769204,-4.106142480858729,4.023213754035385e-5,0.026114605125035602,0.002873759224277967
Ldlrap1,837.6623367810707,-0.33416799810875175,0.08155396558907198,-4.097507652693831,4.176223657384787e-5,0.026114605125035602,0.44108666957358755
Dpp9,2083.909892339824,0.21740406207977497,0.052797876699376835,4.117666763715537,3.827275674283194e-5,0.026114605125035602,0.4661031936389502
Fam161b,164.88703924188724,0.5045325083628116,0.12315180451626156,4.096834068689515,4.188388953494082e-5,0.026114605125035602,0.42026439057110904
F3,2058.365163930367,-0.659783427707729,0.1620750575488808,-4.070851108652191,4.684168252211856e-5,0.028198692878315376,0.39370225438382356
Acat2,1638.622026667019,-0.4469735219204006,0.11035587104107915,-4.050292183856879,5.115372104957908e-5,0.029768055402785053,0.4257846135189891
Cyp24a1,20.011813794159217,-3.25751374582404,0.8176941135642093,-3.9837803547649537,6.782756761765263e-5,0.03593600853889571,2.198196892036033e-8
Slc25a48,17.50635935620701,-2.0569245963625002,0.5163703876108868,-3.983428650661712,6.792807204625722e-5,0.03593600853889571,0.03304440372986726
Cldn8,4845.921088641955,-0.5529114599774716,0.13871209796765563,-3.986036316070985,6.718623301504175e-5,0.03593600853889571,0.4131770992403179
